date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2018-05-01,서울,108.109840703,500007,서울,서울,2018년 5월,201805,0.4944537329507614,15.804769252942696,1.5,1.84,677460.0,15.804769252942696,8.278634077481906,1.5,1.8,13370763.0,12158327.355284104,2.8210382293456293,,,,,,,
2018-06-01,서울,108.720937321883,500007,서울,서울,2018년 6월,201806,0.5652553134009475,14.132393605897844,1.5,1.87,681706.3,14.132393605897844,8.125448469825724,1.5,1.85,10404712.0,12075388.770717755,0.5875570231111737,,,,,,,
2018-07-01,서울,110.396276712286,500007,서울,서울,2018년 7월,201807,1.5409537773234394,12.979557856541014,1.5,1.82,685639.9,12.979557856541014,7.97033256265649,1.5,1.82,9332394.0,11984460.334321272,-1.4038999649292228,,,,,,,
2018-08-01,서울,115.164041936972,500007,서울,서울,2018년 8월,201808,4.3187735734165456,17.478958403134513,1.5,1.81,691369.4,17.478958403134513,7.870898688297978,1.5,1.84,9475264.0,11885935.732361777,-3.148638673604609,,,,,,,
2018-09-01,서울,121.732500632714,500007,서울,서울,2018년 9월,201809,5.703567350768091,23.900522738198585,1.5,1.84,695920.8,23.900522738198585,7.817937988954227,1.5,1.87,8811270.0,11780614.565979905,-4.653582369956045,,,,,,,
2018-10-01,서울,122.580612723286,500007,서울,서울,2018년 10월,201810,0.6967014446954467,23.381453477482104,1.5,1.93,702490.3,23.381453477482104,7.868108265145168,1.5,1.82,10553825.0,11670033.538696222,-5.93283080023439,,,,,,,
2018-11-01,서울,120.788547457264,500007,서울,서울,2018년 11월,201811,-1.4619483670451294,20.788547457263995,1.75,1.96,708809.7,20.788547457263995,7.844499731913923,1.5,1.81,10113419.0,11556414.990818521,-7.004348312888253,,,,,,,
2018-12-01,서울,119.382992139445,500007,서울,서울,2018년 12월,201812,-1.1636494911210882,18.251498442439228,1.75,2.05,713084.9,18.251498442439228,7.932323441169053,1.5,1.84,9032753.0,11442681.454922214,-7.884244014400421,,,,,,,
2019-01-01,서울,118.118875402774,500007,서울,서울,2019년 1월,201901,-1.058875065884135,14.596425549391975,1.75,2.0,713743.0,14.596425549391975,7.665886285607404,1.5,1.93,8015848.0,11331902.554760618,-8.58655873074936,,,,,,,
2019-02-01,서울,117.261054876682,500007,서울,서울,2019년 2월,201902,-0.7262349249151812,11.828093068372604,1.75,1.93,716032.7,11.828093068372604,7.652527343395277,1.75,1.96,7472590.0,11227031.334353743,-9.122455283166907,,,,,,,
